nombre_producto,url,nombre_laboratorio,descripcion,composicion,indicaciones,presentacion,principios_activos,patologias,error
50,https://ar.prvademecum.com/medicamento/-50-23472/,ISA,Polivitamínico. Comp. x 30.,,,,Cinc; Complejo vitamínico B; Ginkgo biloba; Licopeno; Luteína; Resveratrol,Hipovitaminosis,
102 +50,https://ar.prvademecum.com/medicamento/102-50-31557/,MILLET,Suplemento dietario. Hombre Comp. Rec. x 30. Mujer Comp. Rec. x 30.,,,,Biotina; Calcio; Cinc; Fitomenadiona; Fólico ácido; Hierro; Magnesio; Riboflavina; Selenio; Vitamina A; Vitamina B1; Vitamina B12; Vitamina B3; Vitamina B6; Vitamina E,,
102 FOCUS,https://ar.prvademecum.com/medicamento/102-focus-31272/,MILLET,Suplemento dietario. Comp. rec. x 30.,,,,Cinc; Cromo; Fólico ácido; Guaraná; Magnesio; Selenio,,
102 MAGNESIO,https://ar.prvademecum.com/medicamento/102-magnesio-30549/,MILLET,Suplemento dietario. Comp. Rec. x 30.,,,,Complejo vitamínico B; Fitomenadiona; Hierro; Magnesio; Potasio; Vitamina A; Vitamina D,,
102 MAGNESIO CITRATO,https://ar.prvademecum.com/medicamento/102-magnesio-citrato-31057/,MILLET,Magnesio citrato. Suplemento dietario. Comp. x 30.,,,,Magnesio citrato,,
102 MAGNESIO GUMMIES,https://ar.prvademecum.com/medicamento/102-magnesio-gummies-30550/,MILLET,Suplemento dietario. Gomitas x 90.,,,,Fitomenadiona; Magnesio citrato; Vitamina D,,
102 MUJER,https://ar.prvademecum.com/medicamento/102-mujer-27482/,MILLET,"Suplemento dietario a base de aceite de pescado, colágeno, vitaminas, hierro, zinc y extractos de ginseng y ginkgo biloba en cápsulas, para mujeres.","Ingredientes: Fosfato ácido de calcio anhidro, Aceite de pescado (18/12), Colágeno hidrolizado, Sulfato ferroso desecado, Extracto de ginseng, Nicotinamida, Extracto de ginkgo biloba (24%), Pantotenato de calcio, dl-Alfa tocoferol acetato (Vitamina E), Óxido de zinc, Mononitrato de tiamina (Vitamina B1), Piridoxina clorhidrato (Vitamina B6), Riboflavina (Vitamina B2), Cianocobalamina (Vitamina B12), Ácido fólico, Colecalciferol (Vitamina D3), Biotina, Gelatina: GEL, EMU INS 479, 901, 322, HUM INS 422, COL INS 171, 129, 133, ANESP INS 900a.",,Envase con 30 comprimidos.,Aceite de pescado; Cinc; Colágeno; Ginseng; Guaraná; Hierro; Vitaminas,Hipovitaminosis,
102 PLUS,https://ar.prvademecum.com/medicamento/102-plus-13974/,MILLET,"Suplemento dietario con vitaminas, minerales, Guaraná, Ginseng y Ginkgo Biloba.","Cada comprimido contiene: Vitamina C 30 mg, Vitamina B1 10 mg, Vitamina B2 10 mg, Vitamina B6 10 mg, Vitamina E 6 mg, Vitamina B3 5 mg, Vitamina B5 5 mg, Vitamina B9 0,4 mg, Vitamina B7 0,3 mg, Vitamina B12 0,005 mg, Magnesio 100 mg, Hierro 16,6 mg, Zinc 5 mg, Selenio 0,2 mg, Ginkgo Biloba 20 mg, Raíz pulverizada de Ginseng 50 mg, Guaraná 50 mg.",Déficits vitamínicos y minerales y síntomas relacionados.,"Envases con 30, 60 y 90 comprimidos.",Alfa tocoferol; Ascórbico ácido; Cinc; Complejo vitamínico B; Ginkgo biloba; Ginseng; Guaraná; Hierro; Magnesio; Selenio,Hipovitaminosis,
102 PLUS EFERVESCENTE,https://ar.prvademecum.com/medicamento/102-plus-efervescente-17669/,MILLET,Suplemento dietario con vitaminas y minerales en polvo.,"Cada sobre contiene: Vitamina C 1000 mg, Vitamina B5 25 mg, Vitamina B1 15 mg, Vitamina B2 15 mg, Vitamina B6 10 mg, Vitamina B3 10 mg, Vitamina B7 0,15 mg, Vitamina B12 0,01 mg, Magnesio 100 mg, Calcio 100 mg, Zinc 3 mg, Hierro 5 mg.",Déficits vitamínicos y minerales y síntomas relacionados.,Envases con 15 sobres.,Ascórbico ácido; Calcio; Carbohidratos; Cinc; Grasas; Hierro; Magnesio; Pantoténico ácido; Piridoxina; Proteínas; Riboflavina; Tiamina; Vitamina B12; Vitamina B3; Vitamina B8,Hipovitaminosis,
102 SPORT BCAA,https://ar.prvademecum.com/medicamento/102-sport-bcaa-30047/,MILLET,"Suplemento deportivo que favorece el incremento, la resistencia y recuperación de la masa muscular.","BCAA, Magnesio, L-Arginina, Vitaminas Complejo B.",,Sobres por 30.,Aminoácidos; Arginina; Magnesio; Riboflavina; Vitamina B1; Vitamina B3; Vitamina B6,,
