nombre,url,accion_therapeutica,propiedades,indicaciones,dosificacion,reacciones_adversas,precauciones,interacciones,contraindicaciones,sobredosificacion,medicamentos
Aceite de ricino,https://ar.prvademecum.com/principio-activo/aceite-ricino-1790/,Laxante.,"Es un líquido espeso, límpido, incoloro o apenas amarillento, de sabor desagradable y persistente, que se extrae de las semillas del Ricinus communis y actúa como un enérgico purgante irritante. Los principios activos más importantes son el ácido ricinoleico y el isorricinoleico. El aceite de ricino estimula el peristaltismo, por un efecto directo sobre la musculatura lisa intestinal al estimular los plexos nerviosos intramurales. Se ha demostrado que facilita la acumulación de líquidos e iones en el intestino delgado para favorecer el efecto laxante. El ácido ricinoleico se absorbe en el intestino delgado en pequeña cantidad y es metabolizado como cualquier ácido graso en el hígado debido a lo cual se transforma en dióxido de carbono y agua. El comienzo de la acción es entre las 2 y 6 horas luego de la ingestión oral y las heces formadas son de tipo acuoso.","Estreñimiento por disminución de la respuesta motora (constipación atónica) del colon en pacientes geriátricos, alivio en el corto plazo del estreñimiento. Preparación y limpieza del colon para estudios radiológicos o cirugía. Intoxicaciones agudas por drogas o alimentos.","En la actualidad es un purgante que casi no se emplea. Se administran 2 a 10g por vía oral, preferentemente en ayunas, junto con jugos cítricos (limón, naranja) para enmascarar su desagradable sabor.","Confusión, arritmias, calambres musculares, cansancio o debilidad no habitual, eructos, diarrea, náuseas, irritación de la piel.","La administración del aceite de ricino debe ser controlada en los ancianos o pacientes debilitados, ya que puede provocar debilidad, incoordinación e hipotensión como resultado de la pérdida electrolítica. No tomar por la noche.","Diuréticos ahorradores de potasio, suplementos de potasio, ya que el uso crónico de los laxantes puede reducir la potasemia, antiácidos, cimetidina, famotidina, ranitidina.","Embarazo: ya que si se utiliza con frecuencia ocasiona un engrosamiento y aumento de la zona pelviana, lo que puede iniciar la estimulación refleja del útero grávido. Apendicitis o síntomas de apendicitis, hemorragia rectal, insuficiencia cardíaca congestiva, hipertensión, diabetes mellitus, obstrucción intestinal. Dolor abdominal sin que se haya hecho el diagnóstico del cuadro clínico.",,ACEITE DE RICINO EWE
Azacitidina,https://ar.prvademecum.com/principio-activo/azacitidina-6098/,Antineoplásico.,"Es un pirimidin nucleósido análogo a la citidina que produce hipometilación del DNA y acción citotóxica directa sobre las células atípicas en la médula ósea. Se absorbe bien y en forma rápida luego de su aplicación subcutánea, alcanza su pico plasmático a la 0,5 horas. Su biodisponibilidad es elevada (89%) y su vida media 41 minutos (±8).","Síndromes mielodisplásicos, leucemia mielomonocítica crónica. Anemia refractaria por exceso de blastos en transformación.","Se aconseja un primer ciclo de tratamiento con 75mg/m2 subcutáneo (SC) diario durante 7 días. Se deberá premedicar con antivomitivos y antinauseosos. Los ciclos siguientes se deberán repetir cada 4 semanas y puede incrementarse la dosis a 100mg/m2 si no se ha logrado efecto beneficioso previo (2 ciclos) y no ha habido vómitos ni signos de toxicidad. Se aconseja completar un mínimo de 4 ciclos pero se podrá prolongar el tratamiento si la respuesta es efectiva y beneficiosa. Si se detectara una reducción de  < 20mEq/l en los niveles del bicarbonato sérico la dosis se deberá reducir en un 50%, lo mismo que si aumentara el nivel de creatinina sérica. Las inyecciones subcutáneas se aplicaran en forma rotativa en diferentes zonas del cuerpo como con la insulina (abdomen, brazos).","Se han referido alteraciones hematológicas como leucopenia, neutropenia, trombocitopenia, anemia, diarrea o constipación, náuseas, disnea, eritema en la zona de la aplicación, vómitos, aumento de la creatinina, hipopotasemia.","Se aconseja efectuar controles hematológicos antes de cada ciclo del tratamiento por el efecto medulodepresor de la azatidina. Debido a su potencialidad hepatotóxica se deberá tener especial atención en pacientes portadores de hepatopatías previas (hepatitis). Debido a la eliminación renal de la droga y sus metabolitos se realizará un monitoreo estricto del funcionalismo renal. Antes de iniciar la terapia oncológica se deberá realizar hepatograma completo y dosaje de la creatininemia. Estudios preclínicos han mostrado embriotoxicidad en roedores y muerte embrionaria intrauterina, anormalidades en el SNC (micromelia, sindactilia).",,Hipersensibilidad al fármaco o al manitol. Carcinoma avanzado de hígado. Embarazo y lactancia.,,AMILIX; ARQUIMES; AZAMEX; AZANOVA; AZATEVA; AZITECH; AZZA; CELAZA; CITOFIN; ELEINA; 1; 2
Tianeptina,https://ar.prvademecum.com/principio-activo/tianeptina-3349/,Antidepresivo.,"Es un antidepresivo que, por su estructura química, pertenece a la familia de los tricíclicos. Su acción se debe al aumento de la recaptación del neurotransmisor serotonina en las terminales nerviosas serotoninérgicas presentes en corteza, hipocampo y sistema límbico. La tianeptina presenta actividad sobre las alteraciones del humor; esta característica permite que no sea considerada ni un antidepresivo sedativo ni estimulante. Además, reduce los cambios en el carácter, las molestias somáticas, principalmente las digestivas que se hallan asociadas a alteraciones del humor y del comportamiento del alcohólico observados durante los períodos de abstinencia. La tianeptina está desprovista de efecto sobre: el sueño y la vigilia, sobre el sistema cardiovascular y sobre el sistema colinérgico (ausencia de manifestaciones anticolinérgicas). La absorción oral de la tianeptina es rápida y completa, distribuyéndose a la mayor parte de los tejidos. Su metabolismo es principalmente hepático y los metabolitos se excretan por la vía renal, sólo se encuentra en orina un 8% de la droga inalterada.",Episodios de depresión mayor. Estados ansiosos depresivos con alteraciones somáticas. Depresión en pacientes alcohólicos en período de abstinencia.,"12,5mg tres veces al día.","Las reacciones adversas son poco frecuentes e incluyen epigastralgias, sequedad de boca, anorexia, náuseas, vómito, constipación, flatulencia, somnolencia, pesadillas, astenia, vértigos, cefaleas, lipotimia, insomnio, temblor, olas de calor, molestias respiratorias, opresión en la garganta, mialgias, lumbalgia.","Como con otros antidepresivos, se recomienda vigilar a los pacientes durante el tratamiento debido al riesgo de suicidio. En caso de cirugía que requiera anestesia general, se aconseja suspender la administración de tianeptina 24 a 48 horas antes de la intervención, en forma progresiva.",No debe ser administrado junto con drogas inhibidoras de la enzima monoaminooxidasa (IMAO) no selectivas y mianserina.,"Hipersensibilidad a la droga, niños menores de 15 años y mujeres embarazadas.","En caso de sobredosis, suspender la administración de tianeptina y realizar un lavado gástrico, vigilancia cardiorrespiratoria, tratamiento sintomático que incluye principalmente ventilación asistida y corrección de las alteraciones metabólicas y renales.",
Esomeprazol,https://ar.prvademecum.com/principio-activo/esomeprazol-4524/,Antiulceroso.,"El esomeprazol corresponde al isómero S del omeprazol y, como éste, reduce la hipersecreción ácida gástrica. Como otros agentes similares (pantoprazol, lansoprazol, rabeprazol) el esomeprazol actúa inhibiendo en forma específica la bomba ácida de la célula parietal gástrica, independientemente del estímulo secretor. Ambos isómeros ópticos S y R del omeprazol son activos. El esomeprazol se concentra y transforma en la forma activa en el ámbito ácido de los canalículos secretores donde inhibe en forma selectiva la enzima H+K+ ATPasa, inhibiendo tanto la secreción basal como la estimulada. Esomeprazol es lábil al ácido y se administra por vía oral como gránulos con cubierta entérica. La conversión in vivo al isómero R es despreciable. La absorción de esomeprazol es rápida, con niveles plasmáticos pico que ocurren aproximadamente 1-2 horas luego de administrada la dosis. La biodisponibilidad absoluta es de 64% luego de una dosis única de 40mg y aumenta a 89% luego de repetidas administraciones una vez al día. El volumen aparente de distribución en estado basal y en sujetos sanos es de aproximadamente 0,22l/kg de peso corporal. Esomeprazol se une en un 97% a las proteínas. La ingesta de alimentos retrasa y disminuye la absorción de esomeprazol aunque esto no tiene una influencia significativa en el efecto de esomeprazol sobre la acidez intragástrica. Metabolismo y eliminación: esomeprazol es totalmente metabolizado por el sistema citocromo P-450 (CYP). La mayor parte de su metabolismo depende del polimorfo CYP2C19, responsable de los hidroxi y desmetil metabolitos del esomeprazol. La parte restante depende de otra isomorfa específica, CYP3A4, responsable de la formación de esomeprazol sulfona, el principal metabolito en plasma. Los principales metabolitos de esomeprazol no tienen efecto sobre la secreción ácida gástrica. Casi el 80% de una dosis oral de esomeprazol se excreta como metabolitos en la orina, y el resto en las heces. Menos del 1% de la droga intacta se encuentra en orina.",Está indicado para: enfermedad de reflujo gastroesofágico (GERD). Tratamiento de esofagitis erosiva por reflujo. Tratamiento prolongado de pacientes con esofagitis curada para evitar recidivas. Tratamiento sintomático de la enfermedad de reflujo gastroesofágico (GERD). En combinación con regímenes de terapia antibacteriana apropiados para la erradicación de Helicobacter pylori y tratamiento de la úlcera duodenal asociada a Helicobacter pylori. Prevención de recaídas de úlcera péptica en pacientes con úlcera asociada a Helicobacter pylori.,"Los comprimidos deben tragarse enteros, con líquido, sin masticarlos ni triturarlos. Enfermedad de reflujo gastroesofágico (GERD): tratamiento de esofagitis erosiva por reflujo: 40mg una vez al día durante 4 semanas. Para los pacientes cuya esofagitis no ha curado o presentan síntomas persistentes, se recomienda un tratamiento de 4 semanas adicionales. Tratamiento prolongado de pacientes con esofagitis curada para evitar recidivas: 20mg una vez al día. Tratamiento sintomático de la enfermedad de reflujo gastroesofágico (GERD): 20mg una vez al día en pacientes sin esofagitis. Si no se alcanza el control de los síntomas luego de 4 semanas, se debe investigar más al paciente. Luego de la resolución de los síntomas, el control de síntomas subsecuentes se puede lograr utilizando un régimen a demanda de 20mg una vez al día, cuando sea necesario. En combinación con regímenes de terapia antibacteriana apropiados para: la erradicación de Helicobacter pylori; curación de úlcera duodenal asociada a Helicobacter pylori; prevención de la recidiva de úlcera péptica en pacientes con úlcera asociada a Helicobacter pylori: 20mg de esomeprazol con 1g de amoxicilina y 500mg de claritromicina, todos dos veces al día durante 7 días. Niños: esomeprazol no debe ser usado en niños ya que no hay información disponible. Insuficiencia renal: no se requiere ajustar la dosis en pacientes con insuficiencia renal. Debido a la experiencia limitada en pacientes con insuficiencia renal severa, estos pacientes deben ser tratados con cuidado. Insuficiencia hepática: no se requiere ajustar la dosis en pacientes con insuficiencia hepática leve a moderada. Para pacientes con insuficiencia hepática severa no debe excederse una dosis máxima de esomeprazol de 20mg. Ancianos: no se requiere ajustar la dosis. Inyectable: administrar 20 a 40mg cada 24 horas por vía intravenosa lenta (1 a 3 minutos) o por perfusión gota a gota (10 a 30 minutos) durante 10 días en pacientes con esofagitis erosiva o en aquellos en que no se puede emplear la vía oral. Finalizado el tratamiento con inyectables se pasará inmediatamente a la vía oral.","En estudios clínicos con esomeprazol se han observado las siguientes reacciones adversas. En ningún caso se encontró relación con la dosis. Comunes (frecuencia  > 1:100,  < 1:10): cefalea, dolor abdominal, diarrea, flatulencias, náuseas/vómitos y constipación. Poco comunes (frecuencia  > 1:1.000 y  < 1:100): dermatitis, prurito, urticaria, vértigo, sequedad bucal. Las siguientes reacciones adversas a la droga han sido observadas con el racemato (omeprazol) y pueden ocurrir con esomeprazol: sistema nervioso central y periférico: parestesia, somnolencia, insomnio, vértigo. Confusión mental reversible, agitación, agresión, depresión y alucinaciones, predominantemente en pacientes gravemente enfermos. Endocrino: ginecomastia. Gastrointestinal: estomatitis y candidiasis gastrointestinal. Hematológico: leucopenia, trombocitopenia, agranulocitosis y pancitopenia. Hepático: aumento de las enzimas hepáticas, encefalopatía en pacientes con enfermedad hepática severa preexistente, hepatitis con o sin ictericia, insuficiencia hepática. Musculoesquelético: artralgia, debilidad muscular y mialgia. Piel: rash, fotosensibilidad, eritema multiforme, síndrome de Stevens-Johnson, necrólisis epidérmica tóxica (TEN), alopecia. Otros: malestar. Reacciones de hipersensibilidad, ej. angioedema, fiebre, broncospasmo, nefritis intersticial y shock anafiláctico. Aumento de la sudoración, edema periférico, visión borrosa, alteraciones en el gusto e hiponatremia.","En presencia de cualquier síntoma alarmante (por ejemplo significativa pérdida involuntaria de peso, vómitos recurrentes, disfagia, hematemesis o melena) y cuando se sospecha o se conoce la existencia de úlcera gástrica, debe excluirse la posibilidad de malignidad ya que el tratamiento con esomeprazol puede aliviar los síntomas y demorar el diagnóstico. Los pacientes con tratamiento a largo plazo (particularmente los tratados por más de un año) deben supervisarse regularmente. Se debe instruir a los pacientes con tratamiento a demanda que contacten a su médico si sus síntomas cambian de característica. Al prescribir esomeprazol para terapia a demanda, se deben considerar las implicancias de interacción con otros medicamentos debido a las fluctuaciones de las concentraciones plasmáticas de esomeprazol. Al prescribir esomeprazol para la erradicación de Helicobacter pylori se debe tener en cuenta la posible interacción entre todos los componentes de la triple terapia. Claritromicina es un potente inhibidor de la CYP3A4 y, por lo tanto, se deben considerar las contraindicaciones y las interacciones para la claritromicina cuando se usa la triple terapia en pacientes que están utilizando otras drogas metabolizadas vía CYP3A4 como el cisapride. Pacientes con raros problemas hereditarios de intolerancia a la fructosa, malabsorción de glucosa-galactosa o insuficiencia de sucrasa-isomaltasa no deben tomar este medicamento.","Efectos de esomeprazol en la farmacocinética de otras drogas: la disminución de la acidez intragástrica durante el tratamiento con esomeprazol, puede aumentar o disminuir la absorción de drogas si el mecanismo de absorción es influenciado por la acidez gástrica. Como ocurre con el uso de otros inhibidores de la secreción ácida o antiácidos, la absorción de ketoconazol e itraconazol puede disminuir durante el tratamiento con esomeprazol. Esomeprazol inhibe la CYP2C19, la principal enzima que lo metaboliza. Por lo tanto, cuando esomeprazol es combinado con drogas metabolizadas por CYP2C19, como diazepam, citalopram, imipramina, clomipramina, fenitoína, etc., las concentraciones plasmáticas de estas drogas pueden aumentar y podría ser necesario una reducción de la dosis. Esto debe considerarse especialmente al prescribir esomeprazol como terapia a demanda. La administración concomitante de 30mg de esomeprazol provocó una disminución del 45% en la depuración de diazepam, sustrato de la CYP2C19. La administración simultánea de 40mg de esomeprazol provocó un aumento del 13% en los niveles plasmáticos de fenitoína en pacientes epilépticos. Se recomienda el monitoreo de las concentraciones plasmáticas de fenitoína cuando se comienza o se termina un tratamiento con esomeprazol. En voluntarios sanos, la administración simultánea de 40mg de esomeprazol provocó un aumento del 32% en el área bajo la curva de concentración plasmática-tiempo (ABC) y una prolongación de la vida media de eliminación (t½) del 31%, pero no un aumento significativo en los niveles plasmáticos pico de cisapride. El intervalo QTc levemente prolongado observado luego de la administración de cisapride solo, no se prolongó más cuando se suministró cisapride en combinación con esomeprazol. Esomeprazol ha demostrado no tener efectos clínicamente relevantes en las farmacocinéticas de amoxicilina, quinidina o warfarina. Efectos de otras drogas en la farmacocinética del esomeprazol: esomeprazol es metabolizada por la CYP2C19 y CYP3A4. La administración simultánea de esomeprazol y un inhibidor de la CYP3A4, claritromicina (500mg dos veces al día), produce una duplicación del ABC. No es necesario el ajuste de la dosis de esomeprazol.","Hipersensibilidad conocida al esomeprazol, benzimidazoles sustituidos o cualquier otro componente de la formulación.","Hasta ahora no hay experiencia con sobredosis. Los datos son limitados, pero dosis únicas de 80mg de esomeprazol no trajeron consecuencias. No se conoce un antídoto específico. Esomeprazol se une en gran parte a las proteínas y, por lo tanto, no es fácilmente dializable. Como en cualquier caso de sobredosis, el tratamiento debe ser sintomático y deben utilizarse medidas generales de apoyo.",ADIKAN; ALZEPRAL V.L.; DATISAN 20; ESOGASTEC; ESOGASTROSEDOL; ESOGASTROSEDOL 20; ESOMAX; ESOMAX 20; ESOMEPRA; ESOMEPRAZOL DENVER FARMA; 1; 2; 3
Analgésicos,https://ar.prvademecum.com/principio-activo/analg%C3%A9sicos-4866/,,,,,,,,,,
Radiación UV,https://ar.prvademecum.com/principio-activo/radiaci%C3%B3n-uv-4789/,,,,,,,,,,
Ezetimibe,https://ar.prvademecum.com/principio-activo/ezetimibe-5107/,Anticolesterolémico.,"Ezetimibe inhibe selectivamente la absorción intestinal de colesterol y fitosteroles. La administración de ezetimibe reduce los niveles de colesterol total, colesterol-LDL, Apo B y triglicéridos, a la vez que eleva la concentración de colesterol-HDL en pacientes con hipercolesterolemia. La administración simultánea de ezetimibe con un inhibidor de la enzima HMG-CoA reductasa muestra efectos sinérgicos en la reducción de los niveles séricos de colesterol total, colesterol-LDL, Apo B y triglicéridos, y logra elevar los valores de colesterol-HDL en mayor grado que cualquiera de dichas drogas administradas en forma de tratamiento único. El mecanismo de acción de ezetimibe difiere de otros hipocolesterolemiantes (inhibidores de la HMG-CoA reductasa, resinas secuestrantes, derivados del ácido fíbrico y esteroles vegetales). Ezetimibe parece localizarse en el borde ribeteado del intestino delgado e inhibir la absorción de colesterol. Luego de la administración oral ezetimibe se absorbe y es extensivamente conjugado dando origen a un glucurónido con actividad farmacológica que se excreta por vía biliar (78%) y renal (11%). El pico plasmático de la droga aparece luego de 4 a 12 horas posadministración oral, su unión a proteínas es mayor a 90%, su biodisponibilidad es variable entre sujetos, encontrándose valores en el rango de 35 a 60%; la proporcionalidad de dosis se ha observado entre 5 y 20mg, encontrándose que la administración concomitante con alimentos no altera en forma clínicamente significativa la absorción. La vida media plasmática de ezetimibe y su glucurónido son similares (aprox. 22 horas). En pacientes mayores de 65 años la concentración plasmática de la droga duplica la hallada en adultos jóvenes y niños mayores de 10 años. Se carece de datos farmacocinéticos en menores de 10 años. No se han hallado diferencias sustanciales en la farmacocinética entre hombres y mujeres, ni entre sujetos de distintas razas. En pacientes con reducción de la función hepática se observa aumento de la concentración plasmática, ignorándose el efecto de la exposición prolongada a esta droga en este grupo. En pacientes con enfermedad renal severa se observó incremento de 50% en la concentración plasmática.",Hipercolesterolemia primaria. Hipercolesterolemia familiar.,"Vía oral, 10mg, una vez al día. Los pacientes deberían estar recibiendo inhibidores de la HMG-CoA reductasa en forma establecida antes de iniciar la administración de ezetimibe.",No se han reportado reacciones adversas específicas de esta droga.,No se observó incremento de los efectos adversos de los inhibidores de la HMG-CoA reductasa en la administración concomitante con ezetimibe. Se recomienda monitorear en forma periódica los niveles de transaminasas hepáticas que se elevan en forma normal alrededor de 1% durante el tratamiento. No se han encontrado evidencias de carcinogenicidad ni de reducción de la fertilidad.,"Ezetimibe no ejerce efectos sobre: cafeína, dextrometorfano, tolbutamida, midazolam, sugiriendo que otras drogas metabolizadas por el citocromo P450 (1A2, 2D6, 2C8/9 y 3A4) tampoco serían afectadas debido a que ezetimibe no actuaría como inhibidor ni activador del citocromo P450. Warfarina, digoxina, anticonceptivos orales (levonorgestrel, estradiol), cimetidina, antiácidos, glipizida: no se observa interacción significativa. Gemfibrozil: se observa reducción de la biodisponibilidad de ezetimibe en 1,7 veces. Inhibidores de la HMG-CoA reductasa (lovastatín, simvastatín, pravastatín, atorvastatina, fluvastatín): no se observa interacción significativa. Fenofibrato: se observó aumento de la biodisponibilidad de ezetimibe de aprox. 40-60%. Colestiramina: se observó reducción de la biodisponibilidad de ezetimibe entre 55 y 80%. Ciclosporina: ezetimibe experimentó un aumento 12 veces en el nivel sanguíneo en un caso de paciente trasplantado renal que recibió ciclosporina. Se recomienda monitorear la administración conjunta.","Hipersensibilidad a la droga. Enfermedad hepática severa, elevación no explicada y persistente de transaminasas. Embarazo. Lactancia.",En caso de sobredosis administrar tratamiento sintomático.,ALIN; ALIPAS; CORACIL; EZETROL; IXACOR; NALECOL; TRILIP; VADEL; ZETIA
Factor VIII monoclonal ultra alta pureza,https://ar.prvademecum.com/principio-activo/factor-viii-monoclonal-ultra-alta-pureza-6446/,,,,,,,,,,
Sodio lactato,https://ar.prvademecum.com/principio-activo/sodio-lactato-3205/,,,,,,,,,,PEDIALYTE
Factor de humectación natural,https://ar.prvademecum.com/principio-activo/factor-humectaci%C3%B3n-natural-4405/,,,,,,,,,,ACTIUM
